DOB,height_in,home_town,player_country,player_id,player_name,resides,total_first,total_forth,total_played,total_points1,total_points2,total_second,total_third
"October 20, 2000 (22 years old)","6'0""",Sneek,Netherlands  ,17791,Emma Piersma,Den Haas,3,0,29,"3,190.0", ,1,0
"September 22, 1995 (27 years old)","6'0""",Toronto,Canada  ,13757,Sophie Bukovec,"Toronto, ON",1,1,40,9,0,2,0
"April 28, 1994 (29 years old)","5'7""",Tokyo,Japan  ,18179,Mayu Sawame,Kanagawa,0,2,3,370.0,0,0,1
"May 17, 1997 (26 years old)","6'9""",Hamburg,Germany  ,15563,Julius Thole,Hamburg,0,2,46,"$120,775.00","6,967.0",3,2
"September 26, 2007 (15 years old)",,,Latvia  ,21234,Liva Ebere,,0,0,3,280.0,0,0,0
"August 29, 1990 (32 years old)","6'0""",Ravne na Koroškem,Slovenia  ,17032,Tadej Bozenk,Ravne na Koroškem,0,1,7,450.0,0,0,0
"January 13, 1985 (38 years old)","6'2""",Kaunas,Lithuania  ,12176,Erika Kliokmanaite,Barcelona,0,0,5,820.0,0,1,0
"May 12, 1996 (27 years old)","6'4""",Hyères les Palmiers,France  ,14579,Arnaud Loiseau,HYERES,0,1,16,849.0, ,1,0
"January 9, 1984 (39 years old)","6'6""",Tokyo,Japan  ,17594,"Yusuke ""Gottsu"" Ishijima",Saitama,1,0,22,"1,511.0",0,0,0
"September 8, 1989 (33 years old)","5'10""",Vejle,Denmark  ,12391,Cecilie Køllner Olsen,Copenhagen,0,1,18,857.0, ,3,0
"August 30, 1994 (28 years old)","5'9""",Kelme,Lithuania  ,12330,Monika Povilaityte Paulikiene,Vilnius,2,2,40,"4,069.0", ,1,3
"March 6, 1996 (27 years old)","6'0""",Villeurbanne,France  ,14682,Aline Chamereau,FRANCE,0,1,53,"4,674.0", ,1,1
"August 19, 1991 (31 years old)","5'9""",Tokyo,Japan  ,16250,Minori Kumada,Kanagawa  ,0,1,27,"1,995.0",2,2,0
"January 31, 1993 (30 years old)","5'11""",Alicante,Spain  ,11614,Paula Soria Gutiérrez,Tenerife,3,4,61,"6,358.0", ,2,0
"November 3, 1991 (31 years old)","6'2""",Sawiq city-North Batinah Governate,Oman  ,18132,Nouh Al-Jalbubi,SUWAIQ,0,3,7,510.0,1,0,0
"February 11, 2001 (22 years old)","6'1""",Bliedersdorf,Germany  ,20467,Nele Schmitt,,0,0,1,70.0,0,0,0
"January 31, 2005 (18 years old)",,,Latvia  ,20297,Kristians Fokerots,,1,0,11,"1,230.0",0,0,1
"January 21, 1990 (33 years old)","6'3""",Velden,Austria  ,10527,Robin Seidl,Velden am Wörthersee,2,2,128,"16,813.0", ,2,2
"December 26, 1990 (32 years old)","6'6""",Cerrito,Argentina  ,13573,Julian Amado Azaad,Mar Del Plata,0,0,63,"5,142.0", ,0,1
"March 28, 1990 (33 years old)","6'6""",Novi Sad,Serbia  ,10658,Stefan Basta,Novi Sad,1,0,21,"2,070.0", ,2,0
"July 23, 1997 (25 years old)","6'8""",Brno,Czech Republic  ,13871,Donovan Dzavoronok,,1,0,3,170.0,0,0,0
"February 18, 1993 (30 years old)","6'3""",Sydney,Australia  ,11836,Nicole Laird,Adelaide,3,1,56,"5,117.0", ,1,2
"March 5, 1997 (26 years old)","6'3""",Babol,Iran  ,17338,Javad Firouzpourbandpei,Babol,1,0,6,325.0,0,1,0
"August 10, 1997 (25 years old)","5'7""",Port Vila,Vanuatu  ,16558,Sherysyn Toko,Port Vila,1,0,4,530.0,0,0,0
"December 16, 1997 (25 years old)","5'6""","New Orleans, LA",United States  ,17607,Kristen Nuss,"Metairie, LA",4,1,14,"4,860.0", ,0,0
"May 3, 1996 (27 years old)","6'1""",Bangkok,Thailand  ,15651,Surin Jongklang,Bangkok,0,1,33,"3,005.0",1,0,1
"September 27, 1993 (29 years old)","6'1""",Tauranga,New Zealand  ,13114,Griffin Muller,Tauranga,1,0,3,120.0,0,0,0
"October 15, 1995 (27 years old)","6'3""",Almelo,Netherlands  ,17321,Thijs Nijeboer,Den Haag,0,0,20,950.0, ,0,1
"September 13, 1987 (35 years old)","5'7""",London,Canada  ,9176,Heather Bansley,Toronto,3,1,111,"17,225.0", ,4,7
"February 26, 2001 (22 years old)","6'4""",Krstiansand,Norway  ,17185,Nils Gunnar Ringøen,Kristiansand,1,3,19,"1,260.0", ,0,0
"February 13, 1996 (27 years old)","5'8""",Belp,Switzerland  ,13745,Dunja Gerson,Belp,1,0,47,"$21,317.86","3,985.0",0,1
"December 1, 2004 (18 years old)","6'4""",Montpellier,France  ,19774,Arthur Canet,Montpellier,1,0,10,"1,545.0",0,0,1
"April 28, 1995 (28 years old)","6'1""","Banjul, Gambia",Qatar  ,15096,Ahmed Tijan,Doha,4,0,68,"13,983.0", ,8,5
"October 30, 1996 (26 years old)","6'2""","Los Alamitos, CA",United States  ,19434,Crissy Jones,"Long Beach, CA",0,0,2,204.0,0,0,0
"July 26, 1990 (32 years old)","6'7""",Bangkok,Thailand  ,17547,Adisorn Khaolumtarn,Roi ET,0,0,21,"1,835.0",1,0,1
"August 19, 1994 (28 years old)","6'2""","Kiev, Ukraine",Canada  ,15315,Sergiy Grabovskyy,Aurora,0,0,18,1,"$2,350.00",0,1
"May 26, 1981 (42 years old)","6'0""","Fowler, CO",United States  ,6428,Brittany Hochevar,"Knoxville, TN",0,1,85,0,"$123,175.00",1,0
"January 12, 1998 (25 years old)","6'6""","London, Ontario, Canada",Australia  ,16902,Paul Burnett,Adelaide,0,1,31,"$34,482.95","5,271.0",1,2
"January 2, 1988 (35 years old)","6'8""",Slov. Bistrica,Slovenia  ,17764,Vid Jakopin,Ljubljana,0,0,4,310.0,0,0,0
"January 4, 1990 (33 years old)","5'10""",Stuttgart,Germany  ,9373,Chantal Laboureur,Stuttgart,3,5,112,"16,854.0", ,7,4
"June 14, 1997 (26 years old)","6'1""","Mooresville, NC",United States  ,19577,Julia Scoles,"Mooresville, NC",0,1,9,"$28,375.00","2,720.0",1,1
"June 19, 1992 (31 years old)","6'2""",Stord,Norway  ,10836,Ane Guro Tveit Hjortland,Hatlestrand,0,0,43,"2,684.0", ,1,1
"August 6, 1986 (36 years old)","6'6""","Big Bend, WI",United States  ,11507,Billy Kolinske,"Redondo Beach, CA",0,0,36,"$21,245.00","3,330.0",1,1
"January 11, 2001 (22 years old)","6'2""",Zakumuizha,Latvia  ,18799,Arturs Rinkevics,Zakumuizhe,0,0,13,"$1,404.68","1,115.0",0,1
"September 2, 1988 (34 years old)","6'0""",Bogotá,Colombia  ,8461,Andrea Carolina Galindo Rodriguez,Bogotá,1,1,35,"$11,375.30","1,831.0",0,0
"June 11, 2002 (21 years old)","5'7""",Riga,Latvia  ,18504,Varvara Brailko,Riga,0,3,21,"1,270.0", ,0,0
"October 24, 1993 (29 years old)","5'9""",Lima Peru,Australia  ,8395,Mariafe Artacho Del Solar,Brisbane,9,3,78,"14,152.0", ,5,9
"July 2, 1997 (25 years old)","6'7""","Stord, Hordaland",Norway  ,14741,Anders Berntsen Mol,Strandvik,22,1,58,"17,653.0", ,4,6
"March 13, 2002 (21 years old)",,,Ukraine  ,20702,Anastasiya Nagorna,,0,1,1,70.0, ,0,0
"April 9, 1999 (24 years old)","6'0""",Moosburg,Austria  ,16875,Arwin Kopschar,Moosburg,0,1,4,145.0,0,0,0
"March 7, 1997 (26 years old)","6'1""",Rome,Italy  ,16166,Alice Gradini,rome,0,1,5,400.0,0,0,0
"January 26, 2002 (21 years old)","6'0""",Tel Aviv,Israel  ,18866,River Day,Tel Aviv,0,0,7,330.0,1,0,0
"December 22, 1996 (26 years old)","6'0""",Brisbane,Australia  ,14447,Phoebe Bell,Adelaide ,1,0,34,"2,803.0",0,1,3
"June 5, 1993 (30 years old)","6'0""",Thessaloniki,Greece  ,16865,Konstantina Tsopoulou,Athens,0,0,16,"1,005.0",1,1,2
"June 29, 1998 (24 years old)","6'1""",Villach,Austria  ,16282,Katharina Holzer,Keutschach,0,0,5,340.0,0,0,0
"March 20, 1982 (41 years old)","6'3""","Carlsbad, CA",United States  ,5237,Lauren Fendrick,"Los Altos, CA",3,4,116,"15,520.0", ,1,0
"April 14, 1997 (26 years old)","6'2""",Lier,Belgium  ,18078,Sarah Cools,Pulle,0,0,2,40.0,0,0,0
"September 24, 1993 (29 years old)","5'11""",Genova,Italy  ,17316,Davide Benzi,Genova,1,0,11,"1,491.0",0,0,0
"September 29, 1997 (25 years old)","6'0""",Vienna,Austria  ,15658,Franziska Friedl,Muenichsthal,0,0,36,"2,265.0", ,1,1
"April 30, 1989 (34 years old)","5'9""",Braunau am Inn,Austria  ,15095,Eva Freiberger,Linz,0,2,35,"2,195.0", ,1,0
"April 5, 1989 (34 years old)","5'6""",Hualien,Chinese Taipei  ,12690,Pi Hsin Liu,Hualien,3,1,24,"1,882.0",1,1,1
"January 27, 1993 (30 years old)","5'10""",Wen Chang,China  ,13682,Lingdi Zhu,Nanjing,1,3,27,"3,544.0", ,0,1
"July 11, 1989 (33 years old)","6'5""","Queilen, Chiloe",Chile  ,12656,Marco Grimalt,Santiago,4,4,96,"14,792.0", ,2,0
"October 15, 1996 (26 years old)","6'3""",Zaporizia,Ukraine  ,14999,Denys Denysenko,Zaporizia,1,0,32,"2,137.0", ,1,2
"October 7, 1998 (24 years old)","5'9""",Izola,Slovenia  ,16304,Tajda Lovsin,SLOVENIA,0,0,27,"3,200.0", ,3,1
"August 6, 1987 (35 years old)","5'10""",Rio de Janeiro,Brazil  ,5887,Carolina Salgado Collet Solberg,Rio de Janeiro,7,13,200,"33,752.0", ,14,15
"October 17, 1996 (26 years old)","6'4""",Guasave,Mexico  ,15326,Jose Luis Rubio Camargo,Mazatlán,0,0,12,2,"$18,900",2,0
"January 5, 1995 (28 years old)","6'2""",Forde,Norway  ,13785,Bjarne Nikolai Huus,"Long Beach, CA",0,0,5,226.0,0,1,0
"March 11, 1995 (28 years old)","5'9""",Lask,Poland  ,12452,Katarzyna Kociolek,Lask,2,2,64,"8,675.0", ,5,0
"July 30, 2002 (20 years old)",,Chile,Chile  ,20973,Noe Aravena,,0,0,14,"2,390.0",1,1,0
"August 2, 1989 (33 years old)","6'7""",Jilin,China  ,8081,Peng Gao,Beijing,1,0,66,"4,861.0", ,0,2
"March 10, 1994 (29 years old)","6'2""",Strandvik,Norway  ,13275,Hendrik Nikolai Mol,"Honolulu, HI",0,1,54,"7,979.0", ,2,2
"September 23, 1990 (32 years old)","5'10""",Tehran,Iran  ,16552,Arash Vakili,Ag-galla,1,0,17,"1,355.0",0,2,1
"March 21, 1997 (26 years old)","6'1""",Marijampole,Lithuania  ,14675,Matas Navickas,Marijampole,0,0,2,0.0,0,0,0
"September 2, 1987 (35 years old)","6'1""",Friedrichshafen,Germany  ,8417,Julia Sude,Stuttgart,5,7,160,"24,056.0", ,9,7
"May 24, 1985 (38 years old)","6'4""",Rio de Janeiro,Brazil  ,9594,Oscar Brandão Guimarães,Rio de Janeiro,2,0,34,"3,120.0", ,0,0
"September 16, 1998 (24 years old)","6'0""",Amstetten,Austria  ,19106,Eva Pfeffer,Vienna,0,0,9,450.0,1,0,0
"July 15, 1991 (31 years old)","5'11""",Olpe,Germany  ,10827,Isabel Schneider,Wenden,2,5,88,"14,515.0", ,1,2
"February 1, 1989 (34 years old)","6'3""",Tehran,Iran  ,15996,Abolhamed Mirzaali,Agh Ghala,1,0,16,"1,240.0",0,3,3
"March 11, 1990 (33 years old)","6'2""",Paris,France  ,6955,Alexandra Jupiter,Toulouse,1,0,53,"4,228.0", ,0,0
"March 8, 1995 (28 years old)","6'1""","Westland, MI",United States  ,15598,Katie Horton,"Westland, MI",0,2,7,"1,400.0", ,1,1
"May 15, 1992 (31 years old)","5'11""",Kanagawa,Japan  ,17139,Azusa Futami,Kanagawa,0,1,37,"3,830.0",0,1,1
"July 20, 2000 (22 years old)","6'0""",Brisbane,Australia  ,17335,Mark William Nicolaidis,Brisbane,1,0,20,"3,460.0",0,0,0
"May 29, 1991 (32 years old)","6'0""","Laguna Niguel, CA",United States  ,16657,Chase Frishman,"Redondo Beach, CA",1,0,2,150.0, ,0,0
"July 3, 1995 (27 years old)","6'0""",Steinhausen,Switzerland  ,13150,Nicole Eiholzer,Zug,1,1,38,"2,450.0", ,0,1
"July 6, 2000 (22 years old)","6'3""",Sliedrecht,Netherlands  ,17881,Yorick de Groot,Sliedrecht,1,2,26,"3,970.0", ,2,1
"November 13, 1996 (26 years old)","5'11""",Nakhon Sawan,Thailand  ,17548,Narongdet Kangkon,Bangkok,1,0,12,635.0,2,0,0
"September 12, 1990 (32 years old)","5'9""",Rio de Janeiro,Brazil  ,18275,Diana Bellas Romariz Silva,Rio de Janeiro,1,0,2,190.0,0,1,0
"April 18, 1990 (33 years old)","6'0""",Münster,Germany  ,9372,Teresa Mersmann,Münster,2,1,39,"3,679.0", ,1,0
"October 10, 1992 (30 years old)","5'9""","Toronto, ON",Canada  ,10798,Melissa Humana-Paredes,"Hermosa Beach, CA",8,7,84,"18,724.0", ,8,5
"April 12, 1994 (29 years old)","5'10""",Ceske Budejovice,Czech Republic  ,12388,Michaela Kubícková,Ceske Budejovice,0,0,20,"2,350.0",0,1,0
"July 18, 2000 (22 years old)","6'4""",Chelm,Poland  ,18455,Mikolaj Miszczuk,SpaÅ‚a,0,0,30,"1,805.0", ,0,2
"April 29, 2001 (22 years old)","6'4""",Augst BL,Switzerland  ,18720,Leo Dillier,Aarau,0,1,23,"2,845.0", ,0,0
"July 7, 1994 (28 years old)","6'6""",Amrisuil,Switzerland  ,14651,Marco Krattiger,Amrisuil,2,1,66,"8,701.0", ,0,1
"May 9, 1992 (31 years old)","5'11""",Etten-Leur,Netherlands  ,10777,Erik Nijland,,0,0,3,0.0,0,0,0
"January 18, 1988 (35 years old)","6'3""",Almaty,Kazakhstan  ,9192,Dmitriy Yakovlev,Almaty,0,1,58,"1,911.0", ,0,1
"May 22, 1992 (31 years old)","5'7""",Carabobo,Venezuela  ,11696,Norisbeth Isais Agudo Gonzalez,Guacara,0,0,36,"2,100.0", ,2,0
"July 28, 1975 (47 years old)","5'8""",Saitama,Japan  ,5413,Shinako Tanaka,Kanagawa,1,1,119,"3,287.0", ,0,1
"June 18, 1998 (25 years old)","5'11""","Arroyo Grande, CA",United States  ,18607,Emily Sonny,"San Luis Obispo, CA",1,0,1,100.0,0,0,0
"February 7, 1990 (33 years old)","6'3""",Ishikawa,Japan  ,17110,Masato Kurasaka,Tokyo,1,0,21,"1,165.0",2,0,0
"June 24, 1987 (35 years old)","6'0""",Coucy,France  ,16163,Florian Gosselin,Lille,0,0,1,15.0,0,0,0
"January 4, 1985 (38 years old)","6'8""","Andover, MN",United States  ,10939,Stafford Slick,"Hermosa Beach, CA",0,1,48,6,"$61,425.00",0,3
"February 4, 1994 (29 years old)","6'11""",Berlin,Germany  ,17592,Nils Ehlers,Hamburg,0,0,43,"8,820.0", ,2,3
"June 9, 1989 (34 years old)","5'9""",Lugo,Spain  ,9523,Nuria Bouza,Lugo,0,0,3, ,0,0,0
"September 14, 1985 (37 years old)","5'5""",Fukui,Japan  ,13080,Megumi Murakami,Shibuya-ku,1,1,63,"7,304.0", ,0,1
"January 25, 1976 (47 years old)","6'1""","High Point, NC",United States  ,182,Adam Roberts,"Myrtle Beach, SC",0,1,46,"$7,088.90","1,918.0",0,1
"September 13, 1996 (26 years old)","6'1""","St. Amant, LA",United States  ,19441,Toni Rodriguez,"Torrance, CA",0,0,7,"1,310.0",0,1,1
"September 25, 1996 (26 years old)","6'0""",Mendoza,Argentina  ,14507,Leo Aveiro,Tyan,0,0,6,386.0,0,0,1
"December 1, 1995 (27 years old)","5'7""",Kyoto,Japan  ,14437,Satono Ishitsubo,Kanagawa,1,0,4,290.0,0,0,1
"May 5, 1990 (33 years old)","6'2""","Austin, TX",United States  ,14159,Amanda Dowdy Lawson,"Redondo Beach, CA",1,0,32,"2,625.0", ,1,1
"October 15, 1990 (32 years old)","5'8""",Tokyo,Japan  ,10991,Sakurako Fujii,"Shibuya-ku, Tokyo",0,2,51,"3,259.0", ,1,1
"November 26, 1993 (29 years old)","5'8""",Carabobo,Venezuela  ,14540,Gabriela Brito,Carabobo,0,0,15,710.0,0,0,0
"March 5, 2002 (21 years old)",,,Czech Republic  ,18823,Jakub Sepka,Praha,0,1,14,"2,150.0",1,0,0
"September 7, 1986 (36 years old)","6'5""","Redlands, CA",United States  ,10329,James Avery Drost,"Redondo Beach, CA",1,0,13,"$8,950.00",775.0,0,0
"April 3, 1996 (27 years old)","6'0""",La Teste de Buch,France  ,15656,Alexia Richard,Toulon,0,1,45,"$36,427.25","6,001.0",0,0
"July 27, 1994 (28 years old)","6'4""",Vilnius,Lithuania  ,12438,Robert Juchnevic,Vilnius,0,0,9,635.0,0,0,0
"October 19, 1988 (34 years old)","6'0""",Klagenfurt,Austria  ,9809,Simon Frühbauer,Klagenfurt,1,0,28,"1,450.0", ,1,0
"August 13, 1992 (30 years old)","5'10""","Phoenix, AZ",United States  ,12974,Betsi Metter Flint,"Los Angeles, CA",5,2,43,"8,044.0", ,3,1
"October 20, 1992 (30 years old)","6'4""",St. Petersburg,Russia  ,10787,Ruslan Bykanov,St. Petersburg,2,3,45,"3,833.0", ,1,1
"February 27, 1995 (28 years old)","6'8""",Durklens,France  ,17129,Quincy Aye,Montpellier,3,0,57,"6,674.0", ,4,1
"May 30, 2001 (22 years old)","6'2""",Tallinn,Estonia  ,18671,Timo Ander Lõhmus,Tallinn,0,0,2,150.0,0,0,0
"June 7, 1996 (27 years old)","6'3""",Berlin,Germany  ,14809,Eric Stadie,Berlin,0,3,15,"$4,767.01","1,025.0",0,1
"February 8, 1994 (29 years old)","6'2""",Umbazi,Latvia  ,12435,Alise Lece,Riga,0,0,20,"1,189.0", ,0,1
"November 23, 1999 (23 years old)",,Tokyo,Japan  ,20603,Non Matsumoto,,0,0,7,910.0,0,1,0
"December 14, 1993 (29 years old)","5'8""",Hamiton,New Zealand  ,15017,Shaunna Marie Polley,Hamilton,2,3,26,"2,775.0", ,0,1
"June 23, 2000 (22 years old)","6'3""",La Florida,Chile  ,18426,Vicente Orlando Droguett Torrealba,Santiago,0,0,16,"2,400.0",1,1,0
"October 30, 1995 (27 years old)","6'0""",Fortaleza,Brazil  ,18268,Hegeile Almeida dos Santos,Fortaleza,0,2,16,"4,105.0",1,1,0
"March 6, 1988 (35 years old)","6'2""",Almaty,Kazakhstan  ,6063,Tatyana Mashkova,Almaty,0,0,86,"5,119.0", ,1,0
"July 1, 1993 (29 years old)","6'2""",Athens,Greece  ,14314,Panagiota Karagkouni,Athens,2,0,49,"5,255.0", ,0,1
"December 18, 2001 (21 years old)","6'2""","Pacific Palisades, CA",United States  ,17561,Miles Partain,"Pacific Palisades, CA",1,1,8,"2,110.0", ,0,1
"February 20, 1999 (24 years old)","6'3""",Phetchabun ,Thailand  ,18155,Worapeerachayakorn Kongphopsarutawadee,Bangkok,0,1,30,"3,765.0",2,0,1
"October 1, 1977 (45 years old)","6'4""","Richmond, VA",United States  ,1171,Reid Priddy,"Huntington Beach, CA",0,0,16,"1,940.0", ,1,0
"October 23, 1990 (32 years old)","6'2""",Prague,Czech Republic  ,11785,David Lenc,Prague,0,0,33,"1,220.0", ,0,1
"June 11, 1988 (35 years old)","5'9""",Port Vila,Vanuatu  ,8951,Miller Pata,Port Vila,3,2,71,"5,395.0", ,1,0
"July 27, 1997 (25 years old)","6'1""",Gouda,Netherlands  ,13779,Joy Stubbe,'s Gravenhage,1,2,40,"6,040.0", ,0,0
"January 15, 1998 (25 years old)","5'7""",Tel Aviv,Israel  ,17426,Noy Chorin,Ramut Hashavi ,0,2,14,940.0,0,0,0
"August 30, 1996 (26 years old)","6'2""",Maribor,Slovenia  ,16442,Alan Košenina,,0,0,2,90.0,0,1,0
"June 29, 1982 (40 years old)","6'4""",Castellon de la Plana,Spain  ,2077,Pablo Herrera Allepuz,Castellon de la Plana,7,8,203,"34,518.0", ,10,12
"July 16, 1990 (32 years old)","5'9""",Tokyo,Japan  ,10212,Sayaka Mizoe,Tokyo,2,0,125,"11,425.0", ,4,1
"July 7, 1995 (27 years old)","6'1""",Taipei,Chinese Taipei  ,18177,Ya-Jen Hsieh,New Taipei City,0,0,9,590.0,1,1,1
"May 15, 1989 (34 years old)","5'6""",Sodertalje,Sweden  ,10993,Tadva Yoken,Sodertalje,0,2,27,"1,419.0", ,0,0
"August 19, 1994 (28 years old)","6'7""",Vila Velha ,Brazil  ,15355,Andre Loyola Stein,Paraiba ,7,1,71,"16,234.0", ,6,4
"March 9, 1998 (25 years old)","6'0""","Riga, Latvia",Latvia  ,14462,Tina Graudina,"Los Angeles, CA",0,5,47,"9,686.0", ,2,2
"September 15, 1995 (27 years old)","5'10""",Montpellier,France  ,14341,Ophélie Lusson,Toulouse,0,1,26,"1,233.0", ,0,1
"April 6, 1995 (28 years old)","5'7""",Koper,Slovenia  ,13360,Tjasa Jancar,Koper,1,1,16,940.0, ,0,0
"September 12, 1991 (31 years old)","5'11""",Brasilia,Brazil  ,16084,Leonardo Gomes Vieira,Rio de Janeiro,0,1,4,210.0,0,0,0
"January 16, 1999 (24 years old)","6'6""",Kaunas,Lithuania  ,17181,Patrikas Stankevicius,Kaunas,3,2,17,"2,310.0", ,2,0
"September 11, 1993 (29 years old)","6'5""",Nice,France  ,17320,Olivier Barthelemy,Montpellier,0,0,22,"$5,590","1,420.0",0,1
"August 28, 1993 (29 years old)","6'0""",Mie,Japan  ,17318,Suzuka Hashimoto,"Shibuya-ku, Tokyo",2,1,51,"5,059.0", ,1,2
"December 21, 1992 (30 years old)","6'9""",Zaporizhia,Ukraine  ,11533,Vladyslav Iemelianchyk,Zaporizhia,2,0,38,"2,491.0", ,1,2
"June 29, 1985 (37 years old)","6'2""",Sao Joaquim da Barra,Brazil  ,14583,Fernanda Alves,Rio de Janeiro,4,3,59,"12,485.0", ,3,1
"June 23, 1999 (23 years old)","5'9""",Parma,Italy  ,16294,Chiara They,Parma,0,0,3,$0,136.0,0,0
"December 30, 2000 (22 years old)","6'5""",Munich,Germany  ,19549,Benedikt Sagstetter,,0,0,2,180.0,0,0,0
"December 18, 1991 (31 years old)","6'7""",Gothenburg,Sweden  ,17376,Alexander Herrmann,Gothenburg,0,0,11,480.0,0,0,0
"May 25, 1994 (29 years old)","6'0""",Montpellier,France  ,13338,Romain Di Giantommaso,Montpellier,1,0,34,"$13,281.42","2,330.0",0,2
"June 17, 1992 (31 years old)","5'11""",Warsaw,Poland  ,17223,Aleksandra Wachowicz,"Queens County, NY",0,0,34,"4,124.0", ,0,1
"February 6, 1976 (47 years old)","6'7""","Bountiful, UT",United States  ,190,Jake Gibb,"Huntington Beach, CA",7,8,149,0,"$825,687.50",8,8
"June 6, 1988 (35 years old)","6'0""","Colorado Springs, CO",United States  ,10583,Emily Stockman,"Hermosa Beach, CA",3,4,71,"$125,740.20","13,055.0",1,1
"January 7, 1988 (35 years old)","5'11""",Breda,Netherlands  ,6760,Marleen Ramond-van Iersel,GOIRLE,4,12,156,"22,601.0", ,6,10
"October 2, 2002 (20 years old)",,,Israel  ,19879,Yahli Ashush,,0,1,4,430.0,1,0,0
"November 30, 1985 (37 years old)","5'9""",Tokyo,Japan  ,16035,Akiko Hasegawa,"Shibuya-ku, Tokyo",0,1,56,"6,805.0", ,1,1
"December 26, 1999 (23 years old)","6'4""",Salzburg,Austria  ,16874,Paul Pascariuc,Salzburg,0,0,6,450.0,0,0,0
"March 27, 2003 (20 years old)","5'10""",London,Australia  ,19370,Alisha Stevens,Gold Coast,0,1,8,930.0,1,0,0
"September 18, 2000 (22 years old)","6'7""","Swinoujscie
",Poland  ,17919,Milosz Kruk,"Swinoujscie
",0,0,31,"1,745.0", ,1,1
"March 22, 1987 (36 years old)","6'2""",Artyin,Türkiye  ,11531,Volkan Gögtepe,Ä°stanbul,0,1,64,"5,916.0", ,2,1
"February 14, 1995 (28 years old)","5'10""","Costa Mesa, CA",United States  ,13154,Sara Hughes,"Costa Mesa, CA",8,4,65,"13,178.0", ,0,5
"March 20, 1991 (32 years old)","5'10""",Køge,Denmark  ,16979,Simone Marie Okholm Hansen,Copenhangen,0,0,12,585.0,0,0,0
"December 20, 1992 (30 years old)","6'1""","San Diego, CA",United States  ,9309,Summer Ross,"Fort Worth, TX",3,4,85,"$252,600.00","12,695.0",2,4
"February 8, 1990 (33 years old)","6'0""",Liberec,Czech Republic  ,9360,Michala Kvapilová Frank,Prague,0,1,59,"6,576.0", ,1,0
"January 29, 2002 (21 years old)","5'9""",Madrid,Spain  ,16286,Tania Moreno Matveeva,Madrid,0,0,19,"2,130.0", ,0,2
"July 12, 2000 (22 years old)","6'1""",Chieti,Italy  ,17903,Alberto Di Silvestre,Pescara,0,0,3,150.0,0,1,0
"May 15, 1996 (27 years old)","6'4""",Tampere,Finland  ,15009,Santeri Siren,FINLAND,2,2,29,"3,180.0", ,0,3
