BVB_ID,player_name_x,player_country,DOB_x,home_town,resides,total_first,total_second,total_third,total_forth,total_played,total_points,podium%,height_inches_x,height_cm,DOB_date,DOB_str,big_stat_player_name,gender,player_name_y,DOB_y,height_inches_y
38,Eric Fonoimoana,United States,1969-06-07,"Manhattan Beach, CA","Hermosa Beach, CA",15.0,13.0,23.0,17.0,293.0,11274.0,,75.0,190.5,1969-06-07,"June 7, 1969 (54 years old)",Eric Fonoimoana,M,Eric Fonoimoana,1969-06-07,75.0
39,Doug Foust,United States,1969-08-10,"Hermosa Beach, CA",,0.0,0.0,0.0,0.0,136.0,94.0,,76.0,193.04,1969-08-10,"August 10, 1969 (53 years old)",Doug Foust,M,Doug Foust,1969-08-10,76.0
41,Brent Frohoff,United States,1963-05-10,"Hermosa Beach, CA","Manhattan Beach, CA",19.0,34.0,49.0,31.0,334.0,599.0,,75.0,190.5,1963-05-10,"May 10, 1963 (60 years old)",Brent Frohoff,M,Brent Frohoff,1963-05-10,75.0
42,Mike Garcia Jurado,Mexico,1967-10-29,Mexico City,"Laguna Beach, CA",0.0,0.0,0.0,0.0,61.0,140.0,,76.0,193.04,1967-10-29,"October 29, 1967 (55 years old)",Mike Garcia,M,Mike Garcia,1967-10-29,76.0
45,Peter Goers,United States,1973-06-11,"Chicago, IL","Dana Point, CA",0.0,0.0,1.0,0.0,36.0,373.0,,77.0,195.58,1973-06-11,"June 11, 1973 (50 years old)",Peter Goers,M,Peter Goers,1973-06-11,77.0
48,Jerry Graham,United States,1971-04-02,"Carson City, MI","Los Angeles, CA",0.0,0.0,0.0,0.0,61.0,667.0,,74.0,187.96,1971-04-02,"April 2, 1971 (52 years old)",Jerry Graham,M,Jerry Graham,1971-04-02,74.0
50,Curtis Griffin,United States,1969-06-26,"Boulder, CO","Boulder, CO",0.0,0.0,0.0,0.0,64.0,24.0,,74.0,187.96,1969-06-26,"June 26, 1969 (54 years old)",Curtis Griffin,M,Curtis Griffin,1969-06-26,74.0
52,Albert Hannemann,United States,1970-05-04,"Redondo Beach, CA","Hermosa Beach, CA",1.0,2.0,3.0,2.0,256.0,7368.0,,75.0,190.5,1970-05-04,"May 4, 1970 (53 years old)",Albert Hannemann,M,Albert Hannemann,1970-05-04,75.0
54,Nick Hannemann,United States,1972-01-12,"Redondo Beach, CA","Huntington Beach, CA",0.0,1.0,3.0,0.0,127.0,1130.0,,78.0,198.12,1972-01-12,"January 12, 1972 (51 years old)",Nick Hannemann,M,Nick Hannemann,1972-01-12,78.0
57,Mark Heese,Canada,1969-08-15,"Aurora, ON",,1.0,5.0,10.0,8.0,169.0,10673.0,,72.0,182.88,1969-08-15,"August 15, 1969 (53 years old)",Mark Heese,M,Mark Heese,1969-08-15,72.0
59,Rob Heidger,United States,1969-06-03,"Danville, CA","Redondo Beach, CA",1.0,5.0,13.0,7.0,153.0,3189.0,,78.0,198.12,1969-06-03,"June 3, 1969 (54 years old)",Rob Heidger,M,Rob Heidger,1969-06-03,78.0
60,Dax Holdren,United States,1972-09-04,"Santa Barbara, CA","Goleta, CA",14.0,20.0,19.0,8.0,203.0,13444.0,,75.0,190.5,1972-09-04,"September 4, 1972 (50 years old)",Dax Holdren,M,Dax Holdren,1972-09-04,75.0
61,Jody Holden,Canada,1968-08-20,"Shelburne, NS","Toronto, ON",1.0,1.0,1.0,1.0,107.0,4876.0,,77.0,195.58,1968-08-20,"August 20, 1968 (54 years old)",Jody Holden,M,Jody Holden,1968-08-20,77.0
62,John Hurbright,United States,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,John Hubright,M,John Hubright,1972-01-21,77.0
5492,John Hubright,United States,1972-01-21,,"New Bedford, MA",0.0,0.0,0.0,0.0,5.0,36.0,,77.0,195.58,1972-01-21,"January 21, 1972 (51 years old)",John Hubright,M,John Hubright,1972-01-21,77.0
66,Adam Jewell,United States,1975-06-24,"Torrance, CA","Redondo Beach, CA",1.0,4.0,6.0,0.0,129.0,6980.0,,77.0,195.58,1975-06-24,"June 24, 1975 (48 years old)",Adam Jewell,M,Adam Jewell,1975-06-24,77.0
67,Adam Johnson,United States,1965-01-31,"Laguna Beach, CA","Austin, TX",43.0,35.0,34.0,31.0,256.0,1735.0,,75.0,190.5,1965-01-31,"January 31, 1965 (58 years old)",Adam Johnson,M,Adam Johnson,1965-01-31,75.0
69,Karch Kiraly,United States,1960-11-03,"Santa Barbara, CA","San Clemente, CA",148.0,57.0,47.0,13.0,354.0,8653.0,,74.0,187.96,1960-11-03,"November 3, 1960 (62 years old)",Karch Kiraly,M,Karch Kiraly,1960-11-03,74.0
70,Jan Kvalheim,Norway,1963-02-05,Skien,Skien,8.0,5.0,10.0,9.0,105.0,5836.0,,79.0,200.66,1963-02-05,"February 5, 1963 (60 years old)",Jan Kvalheim,M,Jan Kvalheim,1963-02-05,79.0
72,Mike Lambert,United States,1974-04-14,"Kaneohe, HI","Costa Mesa, CA",16.0,10.0,20.0,2.0,92.0,11685.0,,78.0,198.12,1974-04-14,"April 14, 1974 (49 years old)",Mike Lambert,M,Mike Lambert,1974-04-14,78.0
73,Lee LeGrande,United States,1971-04-23,"Honolulu, HI","Hermosa Beach, CA",4.0,1.0,6.0,2.0,137.0,1857.0,,77.0,195.58,1971-04-23,"April 23, 1971 (52 years old)",Lee LeGrande,M,Lee LeGrande,1971-04-23,77.0
74,Conrad Leinemann,Canada,1971-04-02,Kelowna,"Toronto, ON",1.0,1.0,1.0,1.0,150.0,7150.0,,75.0,190.5,1971-04-02,"April 2, 1971 (52 years old)",Conrad Leinemann,M,Conrad Leinemann,1971-04-02,75.0
75,Ken Lentin,United States,1962-12-17,,"La Jolla, CA",0.0,0.0,0.0,0.0,9.0,78.0,,,,1962-12-17,"December 17, 1962 (60 years old)",Ken Lentin,M,Ken Lentin,1962-12-17,
76,Brian Lewis,United States,1968-03-22,"Corona del Mar, CA","San Clemente, CA",8.0,28.0,36.0,19.0,252.0,3079.0,,73.0,185.42000000000002,1968-03-22,"March 22, 1968 (55 years old)",Brian Lewis,M,Brian Lewis,1968-03-22,73.0
350,"Brian Lewis, Sr.",United States,,,,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,Brian Lewis,M,Brian Lewis,1968-03-22,73.0
77,José Geraldo Loiola,Brazil,1970-03-28,Vitória,"Vitoria, ES, CA",55.0,44.0,27.0,16.0,277.0,12406.0,,76.0,193.04,1970-03-28,"March 28, 1970 (53 years old)",Jose Loiola,M,Jose Loiola,1970-03-28,76.0
81,Matt Lyles,United States,1969-08-26,,"Los Gatos, CA",0.0,0.0,1.0,1.0,51.0,293.0,,75.0,190.5,1969-08-26,"August 26, 1969 (53 years old)",Matt Lyles,M,Matt Lyles,1969-08-26,75.0
84,Björn Maaseide,Norway,1968-03-07,Stavanger,Sandnes,8.0,5.0,10.0,9.0,178.0,9391.0,,78.0,198.12,1968-03-07,"March 7, 1968 (55 years old)",Bjorn Maaseide,M,Bjorn Maaseide,1968-03-07,78.0
89,Mike Mattarocci,United States,1969-10-05,"San Diego, CA","Hermosa Beach, CA",0.0,0.0,0.0,0.0,65.0,653.0,,80.0,203.2,1969-10-05,"October 5, 1969 (53 years old)",Mike Mattarocci,M,Mike Mattarocci,1969-10-05,80.0
90,Stein Metzger,United States,1972-11-17,"Honolulu, HI","Redondo Beach, CA",18.0,18.0,41.0,2.0,223.0,21159.0,,75.0,190.5,1972-11-17,"November 17, 1972 (50 years old)",Stein Metzger,M,Stein Metzger,1972-11-17,75.0
95,Jim Nichols,United States,1966-11-04,"Encinitas, CA","Encinitas, CA",0.0,0.0,0.0,3.0,195.0,2201.0,,71.0,180.34,1966-11-04,"November 4, 1966 (56 years old)",Jim Nichols,M,Jim Nichols,1966-11-04,71.0
96,Mark Paaluhi,United States,1971-03-08,"Honolulu, HI","Hermosa Beach, CA",0.0,1.0,0.0,0.0,125.0,565.0,,75.0,190.5,1971-03-08,"March 8, 1971 (52 years old)",Mark Paaluhi,M,Mark Paaluhi,1971-03-08,75.0
97,Raul Papaleo Pérez,Puerto Rico,1971-10-11,"San Juan, PR","Carolina, PR",1.0,1.0,1.0,0.0,102.0,1391.0,,73.0,185.42000000000002,1971-10-11,"October 11, 1971 (51 years old)",Raul Papaleo,M,Raul Papaleo,1971-10-11,73.0
98,Rogério 'Pará' de Souza Ferreira,Brazil,1973-09-13,Belém,Rio de Janeiro,10.0,14.0,10.0,5.0,127.0,9340.0,,75.0,190.5,1973-09-13,"September 13, 1973 (49 years old)",Rogerio 'Para' Ferreira,M,Rogerio 'Para' Ferreira,1973-09-13,75.0
100,Dane Pearson,United States,1967-12-24,,"Venice, CA",0.0,0.0,1.0,0.0,42.0,598.0,,76.0,193.04,1967-12-24,"December 24, 1967 (55 years old)",Dane Pearson,M,Dane Pearson,1967-12-24,76.0
106,Leland Quinn,United States,1972-04-03,"Huntington Beach, CA","Newport Beach, CA",0.0,0.0,0.0,0.0,57.0,378.0,,81.0,205.74,1972-04-03,"April 3, 1972 (51 years old)",Leland Quinn,M,Leland Quinn,1972-04-03,81.0
111,Todd Rogers,United States,1973-09-30,"Santa Barbara, CA","Solvang, CA",80.0,34.0,35.0,19.0,349.0,49546.0,,74.0,187.96,1973-09-30,"September 30, 1973 (49 years old)",Todd Rogers,M,Todd Rogers,1973-09-30,74.0
112,Henry Russell,United States,1969-05-21,"Clearwater, FL","Redondo Beach, CA",1.0,1.0,3.0,1.0,91.0,33.0,,78.0,198.12,1969-05-21,"May 21, 1969 (54 years old)",Henry Russell,M,Henry Russell,1969-05-21,78.0
116,Sean Scott,United States,1973-06-29,"Kailua, HI","Redondo Beach, CA",24.0,25.0,26.0,5.0,231.0,27526.0,,77.0,195.58,1973-06-29,"June 29, 1973 (50 years old)",Sean Scott,M,Sean Scott,1973-06-29,77.0
117,Wayne Seligson,United States,1971-06-24,,"Honolulu, HI",0.0,0.0,1.0,0.0,84.0,47.0,,73.0,185.42000000000002,1971-06-24,"June 24, 1971 (52 years old)",Wayne Seligson,M,Wayne Seligson,1971-06-24,73.0
119,Steve Simpson,United States,1971-03-04,,"Conroe, TX",0.0,0.0,0.0,0.0,29.0,275.0,,73.0,185.42000000000002,1971-03-04,"March 4, 1971 (52 years old)",Steve Simpson,M,Steve Simpson,1971-03-04,73.0
122,David Smith,United States,1972-02-26,"Denver, CO","Lakewood, CO",0.0,1.0,1.0,1.0,156.0,7369.0,,75.0,190.5,1972-02-26,"February 26, 1972 (51 years old)",David Smith,M,David Smith,1972-02-26,75.0
123,Doug Smith,United States,1970-01-07,,"Mt. Pleasant, SC",0.0,0.0,0.0,0.0,6.0,10.0,,,,1970-01-07,"January 7, 1970 (53 years old)",Doug Smith,M,Doug Smith,1970-01-07,
130,David Swatik,United States,1973-02-14,"Manhatttan Beach, CA","Manhatttan Beach, CA",4.0,3.0,5.0,5.0,153.0,999.0,,76.0,193.04,1973-02-14,"February 14, 1973 (50 years old)",David Swatik,M,David Swatik,1973-02-14,76.0
135,Amaury Velasco,Puerto Rico,1972-03-06,"Santurce, PR","San Juan, PR",0.0,1.0,1.0,0.0,63.0,949.0,,77.0,195.58,1972-03-06,"March 6, 1972 (51 years old)",Amaury Velasco,M,Amaury Velasco,1972-03-06,77.0
138,Mike Whitmarsh,United States,,"San Diego, CA","Deceased February 16, 2009",28.0,49.0,40.0,25.0,267.0,5546.0,,79.0,200.66,,May 18th,Mike Whitmarsh,M,Mike Whitmarsh,,79.0
140,Andy Witt,United States,1978-03-21,"Santa Ynez, CA","Santa Ynez, CA",0.0,0.0,0.0,0.0,31.0,1762.0,,78.0,198.12,1978-03-21,"March 21, 1978 (45 years old)",Andy Witt,M,Andy Witt,1978-03-21,78.0
141,Kevin Wong,United States,1972-09-12,"Honolulu, HI","Honolulu, HI",10.0,10.0,27.0,3.0,260.0,23002.0,,79.0,200.66,1972-09-12,"September 12, 1972 (50 years old)",Kevin Wong,M,Kevin Wong,1972-09-12,79.0
141,Kevin Wong,United States,1972-09-12,"Honolulu, HI","Honolulu, HI",10.0,10.0,27.0,3.0,260.0,23002.0,,79.0,200.66,1972-09-12,"September 12, 1972 (50 years old)",Kevin Wong,M,Kevin Wong,1979-03-21,
7948,Kevin Wong,United States,1979-03-21,,"Denver, CO",0.0,0.0,0.0,0.0,5.0,21.0,,,,1979-03-21,"March 21, 1979 (44 years old)",Kevin Wong,M,Kevin Wong,1972-09-12,79.0
7948,Kevin Wong,United States,1979-03-21,,"Denver, CO",0.0,0.0,0.0,0.0,5.0,21.0,,,,1979-03-21,"March 21, 1979 (44 years old)",Kevin Wong,M,Kevin Wong,1979-03-21,
142,Eric Wurts,United States,1960-02-25,,"Fort Lauderdale, FL",1.0,4.0,4.0,4.0,266.0,219.0,,72.0,182.88,1960-02-25,"February 25, 1960 (63 years old)",Eric Wurts,M,Eric Wurts,1960-02-25,72.0
143,Chris Young,United States,1967-02-26,,"Kaneohe, HI",0.0,1.0,0.0,0.0,145.0,82.0,,77.0,195.58,1967-02-26,"February 26, 1967 (56 years old)",Chris Young,M,Chris Young,1967-02-26,77.0
19176,Yung Yung Koo,Hong Kong,1995-08-22,Hong Kong,Hong Kong,0.0,0.0,0.0,0.0,4.0,175.0,,70.0,177.8,1995-08-22,"August 22, 1995 (27 years old)",Chris Young,M,Chris Young,1967-02-26,77.0
144,Tony Zapata,United States,1969-12-21,,"Topanga, CA",0.0,0.0,0.0,0.0,93.0,63.0,,77.0,195.58,1969-12-21,"December 21, 1969 (53 years old)",Tony Zapata,M,Tony Zapata,1969-12-21,77.0
145,Joel Jones,United States,,,"Torrance, CA",0.0,0.0,2.0,2.0,27.0,40.0,,,,,,Joel Jones,M,Joel Jones,,
146,Julien Prosser,Australia,1972-06-11,"Bunbury, West Australia",Sydney,1.0,0.0,8.0,7.0,150.0,7317.0,,76.0,193.04,1972-06-11,"June 11, 1972 (51 years old)",Julien Prosser,M,Julien Prosser,1972-06-11,76.0
147,Lee Zahner,Australia,1974-03-13,Brisbane,Brisbane,1.0,0.0,6.0,3.0,91.0,5538.0,,78.0,198.12,1974-03-13,"March 13, 1974 (49 years old)",Lee Zahner,M,Lee Zahner,1974-03-13,78.0
148,Emanuel Fernando Scheffer Rego,Brazil,1973-04-15,Curitiba,João Pessoa/Rio de Janeiro,86.0,45.0,47.0,16.0,286.0,46415.0,,75.0,190.5,1973-04-15,"April 15, 1973 (50 years old)",Emanuel Rego,M,Emanuel Rego,1973-04-15,75.0
149,Franco José Vieira Neto,Brazil,1966-11-11,Fortaleza,Rio de Janeiro,18.0,21.0,26.0,16.0,212.0,16615.0,,76.0,193.04,1966-11-11,"November 11, 1966 (56 years old)",Franco Neto,M,Franco Neto,1966-11-11,76.0
2943,"Ernesto Octavio "" Neto"" Romero Franco",Mexico,1975-03-20,Ensenada,,0.0,0.0,0.0,0.0,1.0,2.0,,73.0,185.42000000000002,1975-03-20,"March 20, 1975 (48 years old)",Franco Neto,M,Franco Neto,1966-11-11,76.0
150,Roberto Lopes da Costa,Brazil,1966-10-06,Bacabal,"Fortaleza, CE",15.0,12.0,16.0,9.0,122.0,5299.0,,73.0,185.42000000000002,1966-10-06,"October 6, 1966 (56 years old)",Roberto Lopes,M,Roberto Lopes,1966-10-06,73.0
151,Christopher 'Sinjin' Smith,United States,1957-05-07,"Santa Monica, CA","Pacific Palisades, CA",139.0,73.0,42.0,18.0,420.0,5205.0,,75.0,190.5,1957-05-07,"May 7, 1957 (66 years old)",Sinjin Smith,M,Sinjin Smith,1957-05-07,75.0
152,Carl Henkel,United States,1969-08-16,"Redondo Beach, CA","Redondo Beach, CA",0.0,6.0,3.0,4.0,167.0,6585.0,,79.0,200.66,1969-08-16,"August 16, 1969 (53 years old)",Carl Henkel,M,Carl Henkel,1969-08-16,79.0
153,Pepe Delahoz,United States,1971-10-22,,"San Diego, CA",0.0,0.0,1.0,0.0,73.0,1869.0,,73.0,185.42000000000002,1971-10-22,"October 22, 1971 (51 years old)",Pepe Delahoz,M,Pepe Delahoz,1971-10-22,73.0
154,Juan Alberto Rodriguez Ibarra,Mexico,1969-05-30,Tepic Nayarit,"Puerto Vallarta, Jalisco",0.0,0.0,0.0,0.0,64.0,1193.0,,76.0,193.04,1969-05-30,"May 30, 1969 (54 years old)",Juan Rodriguez Ibarra,M,Juan Rodriguez Ibarra,1969-05-30,76.0
156,Brian MacDonald,United States,1972-08-15,"Danville, CA","Newport Beach, CA",0.0,0.0,0.0,0.0,31.0,167.0,,77.0,195.58,1972-08-15,"August 15, 1972 (50 years old)",Brian MacDonald,M,Brian MacDonald,1972-08-15,77.0
157,Dan Ortega,United States,1974-08-15,"Castro Valley, CA","Manhattan Beach, CA",0.0,0.0,0.0,0.0,34.0,333.0,,73.0,185.42000000000002,1974-08-15,"August 15, 1974 (48 years old)",Dan Ortega,M,Dan Ortega,1974-08-15,73.0
158,David Fischer,United States,1972-04-09,"Santa Barbara, CA","Venice, CA",2.0,0.0,0.0,1.0,131.0,2961.0,,75.0,190.5,1972-04-09,"April 9, 1972 (51 years old)",David Fischer,M,David Fischer,1972-04-09,75.0
161,Chris Makos,United States,1973-04-21,"Philadelphia, PA","Claymont, DE",0.0,0.0,0.0,0.0,41.0,692.0,,75.0,190.5,1973-04-21,"April 21, 1973 (50 years old)",Chris Makos,M,Chris Makos,1973-04-21,75.0
162,Chad Convis,United States,1971-03-28,"Farmington Hills, MI","Redondo Beach, CA",0.0,0.0,0.0,0.0,35.0,249.0,,77.0,195.58,1971-03-28,"March 28, 1971 (52 years old)",Chad Convis,M,Chad Convis,1971-03-28,77.0
164,Marcos Macau,United States,1979-03-14,"Miami, FL","Coral Gables, FL",1.0,0.0,0.0,0.0,20.0,238.0,,72.0,182.88,1979-03-14,"March 14, 1979 (44 years old)",Marcos Macau,M,Marcos Macau,1979-03-14,72.0
165,Carlos Machado,United States,,,"Boynton Beach, FL",0.0,0.0,0.0,0.0,19.0,8.0,,,,,,Carlos Machado,M,Carlos Machado,,
972,"Antonio Carlos ""Carlão"" Gouveia",Brazil,1965-04-20,Rio Branco (AC),Rio de Janeiro,0.0,0.0,0.0,0.0,2.0,65.0,,78.0,198.12,1965-04-20,"April 20, 1965 (58 years old)",Carlos Machado,M,Carlos Machado,,
166,Curtis Rollins,United States,1972-11-23,"Palm Beach Gardens, FL","Palm Beach Gardens, FL",0.0,0.0,0.0,0.0,24.0,65.0,,74.0,187.96,1972-11-23,"November 23, 1972 (50 years old)",Curtis Rollins,M,Curtis Rollins,1972-11-23,74.0
167,Matt Johnson,United States,1973-10-27,,"Cincinnati, OH",0.0,0.0,0.0,0.0,9.0,38.0,,72.0,182.88,1973-10-27,"October 27, 1973 (49 years old)",Matt Johnson,M,Matt Johnson,1973-10-27,72.0
168,Louis Messier,United States,,,"Los Angeles, CA",0.0,0.0,0.0,0.0,4.0,63.0,,,,,,Louis Messier,M,Louis Messier,,
176,Craig Geibel,United States,1971-05-18,,"Tulsa, OK",0.0,0.0,0.0,0.0,31.0,69.0,,75.0,190.5,1971-05-18,"May 18, 1971 (52 years old)",Craig Geibel,M,Craig Geibel,1971-05-18,75.0
177,Collin Smith,United States,1975-05-26,"Hermosa Beach, CA","Hermosa Beach, CA",1.0,0.0,0.0,1.0,51.0,1536.0,,76.0,193.04,1975-05-26,"May 26, 1975 (48 years old)",Collin Smith,M,Collin Smith,1975-05-26,76.0
178,Chris Magill,United States,1970-09-14,"Houston, TX","San Diego, CA",0.0,0.0,0.0,0.0,51.0,525.0,,71.0,180.34,1970-09-14,"September 14, 1970 (52 years old)",Chris Magill,M,Chris Magill,1970-09-14,71.0
181,Dana Camacho,United States,1977-01-25,"Ft. Lauderdale, FL","Deerfield, FL",1.0,3.0,2.0,0.0,75.0,3581.0,,69.0,175.26,1977-01-25,"January 25, 1977 (46 years old)",Dana Camacho,M,Dana Camacho,1977-01-25,69.0
182,Adam Roberts,United States,1976-01-25,"High Point, NC","Myrtle Beach, SC",4.0,0.0,3.0,1.0,247.0,22771.0,,73.0,185.42000000000002,1976-01-25,"January 25, 1976 (47 years old)",Adam Roberts,M,Adam Roberts,1976-01-25,73.0
183,Colin Wellman,United States,1974-12-26,"Santa Monica, CA","Los Angeles, CA",0.0,0.0,0.0,0.0,42.0,539.0,,79.0,200.66,1974-12-26,"December 26, 1974 (48 years old)",Colin Wellman,M,Colin Wellman,1974-12-26,79.0
186,Jason Ring,United States,1974-07-21,"Bend, OR","Newport Beach, CA",1.0,1.0,8.0,0.0,98.0,7119.0,,75.0,190.5,1974-07-21,"July 21, 1974 (48 years old)",Jason Ring,M,Jason Ring,1974-07-21,75.0
187,Brad Torsone,United States,1975-01-14,"Rochester, NY","Redondo Beach, CA",1.0,0.0,2.0,1.0,135.0,8025.0,,78.0,198.12,1975-01-14,"January 14, 1975 (48 years old)",Brad Torsone,M,Brad Torsone,1975-01-14,78.0
188,Pete Nuss,United States,1978-04-14,,"Destrehan, LA",0.0,0.0,1.0,0.0,5.0,116.0,,73.0,185.42000000000002,1978-04-14,"April 14, 1978 (45 years old)",Pete Nuss,M,Pete Nuss,1978-04-14,73.0
189,Mike Daniel,United States,1968-09-01,"Pleasant Grove, UT","Pleasant Grove, UT",0.0,0.0,0.0,0.0,22.0,168.0,,71.0,180.34,1968-09-01,"September 1, 1968 (54 years old)",Mike Daniel,M,Mike Daniel,1968-09-01,71.0
190,Jake Gibb,United States,1976-02-06,"Bountiful, UT","Huntington Beach, CA",43.0,45.0,46.0,9.0,336.0,65291.0,,79.0,200.66,1976-02-06,"February 6, 1976 (47 years old)",Jake Gibb,M,Jake Gibb,1976-02-06,79.0
191,Riley Salmon,United States,1976-07-02,"Amarillo, TX","Houston, TX",0.0,0.0,2.0,0.0,14.0,568.0,,78.0,198.12,1976-07-02,"July 2, 1976 (47 years old)",Riley Salmon,M,Riley Salmon,1976-07-02,78.0
194,Jon Barnes,United States,1974-01-04,"Medford, NJ","San Diego, CA",0.0,0.0,0.0,0.0,28.0,170.0,,75.0,190.5,1974-01-04,"January 4, 1974 (49 years old)",Jon Barnes,M,Jon Barnes,1974-01-04,75.0
