player_id,player_name,player_country,DOB,home_town,resides,total_first,total_second,total_third,total_forth,total_played,total_points,podium%,height_inches,height_cm,DOB_date,DOB_str,big_stat_player_name
20,Daniel Cardenas,Cuba,1967-08-11,,"Los Angeles, CA",0.0,0.0,0.0,1.0,124.0,631.0,,77.0,195.58,1967-08-11,"August 11, 1967 (55 years old)",Daniel Cardenas
21,George Carey,United States,1964-08-04,,,5.0,2.0,0.0,0.0,40.0,0.0,,,,1964-08-04,"August 4, 1964 (58 years old)",
22,Dan Castillo,United States,1972-02-25,,"Long Beach, CA",0.0,0.0,0.0,1.0,61.0,34.0,,69.0,175.26,1972-02-25,"February 25, 1972 (51 years old)",
23,Canyon Ceman,United States,1972-06-21,"Hermosa Beach, CA","Stamford, CT",7.0,13.0,21.0,13.0,224.0,8327.0,,77.0,195.58,1972-06-21,"June 21, 1972 (51 years old)",Canyon Ceman
24,John Child,Canada,1967-05-04,"Toronto, ON","Toronto, ON",1.0,5.0,10.0,9.0,134.0,7908.0,,74.0,187.96,1967-05-04,"May 4, 1967 (56 years old)",John Child
25,Ian Clark,United States,1970-09-02,"Boulder, CO","Lawndale, CA",1.0,2.0,4.0,4.0,166.0,3416.0,,78.0,198.12,1970-09-02,"September 2, 1970 (52 years old)",Ian Clark
26,Jon Cummings,United States,,,"York, PA",0.0,0.0,0.0,0.0,9.0,0.0,,,,,,
27,Scott Davenport,United States,1971-09-12,"Rochester, NY","Redondo Beach, CA",0.0,0.0,0.0,0.0,118.0,3524.0,,72.0,182.88,1971-09-12,"September 12, 1971 (51 years old)",Scott Davenport
28,Mike Diehl,United States,1970-12-30,,"Huntington Beach, CA",1.0,0.0,0.0,1.0,39.0,438.0,,78.0,198.12,1970-12-30,"December 30, 1970 (52 years old)",Mike Diehl
29,Pete DiVenere,United States,1971-02-27,"Fogattaville, NC","Pawleys Island, SC",0.0,0.0,0.0,0.0,30.0,553.0,,74.0,187.96,1971-02-27,"February 27, 1971 (52 years old)",Pete DiVenere
30,Brent Doble,United States,1970-01-03,"St. Paul, MN","San Juan Capistrano, CA",5.0,1.0,13.0,2.0,161.0,7190.0,,78.0,198.12,1970-01-03,"January 3, 1970 (53 years old)",Brent Doble
31,Mike Dodd,United States,1957-08-20,"Manhattan Beach, CA","Manhattan Beach, CA",75.0,83.0,75.0,37.0,355.0,986.0,,76.0,193.04,1957-08-20,"August 20, 1957 (65 years old)",
32,Marcelo Duarte,United States,1971-01-15,,"Santa Barbara, CA",0.0,0.0,0.0,0.0,86.0,41.0,,72.0,182.88,1971-01-15,"January 15, 1971 (52 years old)",Marcello Duarte
33,Kurt Dumm,United States,,,"San Clemente, CA",0.0,0.0,0.0,0.0,31.0,0.0,,,,,,
34,Jake Elliott,United States,1975-09-27,"Charleston, SC","Mount Pleasant, SC",0.0,0.0,0.0,0.0,54.0,2116.0,,73.0,185.42000000000002,1975-09-27,"September 27, 1975 (47 years old)",Jake Elliott
35,Sean Fallowfield,United States,1963-09-26,,"Huntington Beach, CA",0.0,3.0,3.0,5.0,155.0,12.0,,73.0,185.42000000000002,1963-09-26,"September 26, 1963 (59 years old)",
36,James Fellows,United States,1971-06-26,,"Naples, FL",0.0,0.0,0.0,0.0,81.0,164.0,,77.0,195.58,1971-06-26,"June 26, 1971 (52 years old)",James Fellows
37,Rondeau Flynn,Ireland,1969-05-16,"Chelmsford, MA","Dublin, MA",0.0,0.0,0.0,0.0,13.0,8.0,,77.0,195.58,1969-05-16,"May 16, 1969 (54 years old)",
38,Eric Fonoimoana,United States,1969-06-07,"Manhattan Beach, CA","Hermosa Beach, CA",15.0,13.0,23.0,17.0,293.0,11274.0,,75.0,190.5,1969-06-07,"June 7, 1969 (54 years old)",Eric Fonoimoana
39,Doug Foust,United States,1969-08-10,"Hermosa Beach, CA",,0.0,0.0,0.0,0.0,136.0,94.0,,76.0,193.04,1969-08-10,"August 10, 1969 (53 years old)",Doug Foust
40,Scott Friederichsen,United States,1960-05-26,"Laguna Hills, CA","Laguna Hills, CA",0.0,1.0,6.0,8.0,289.0,131.0,,75.0,190.5,1960-05-26,"May 26, 1960 (63 years old)",
41,Brent Frohoff,United States,1963-05-10,"Hermosa Beach, CA","Manhattan Beach, CA",19.0,34.0,49.0,31.0,334.0,599.0,,75.0,190.5,1963-05-10,"May 10, 1963 (60 years old)",Brent Frohoff
42,Mike Garcia Jurado,Mexico,1967-10-29,Mexico City,"Laguna Beach, CA",0.0,0.0,0.0,0.0,61.0,140.0,,76.0,193.04,1967-10-29,"October 29, 1967 (55 years old)",Mike Garcia
43,Carlos Eduardo Dias Garrido,Brazil,1967-12-17,"Recife, PE",Recife (PE),0.0,4.0,4.0,4.0,93.0,965.0,,76.0,193.04,1967-12-17,"December 17, 1967 (55 years old)",
44,Brian Gatzke,Canada,1964-11-21,Vernon,"Victoria, BC",0.0,0.0,1.0,0.0,143.0,212.0,,78.0,198.12,1964-11-21,"November 21, 1964 (58 years old)",
45,Peter Goers,United States,1973-06-11,"Chicago, IL","Dana Point, CA",0.0,0.0,1.0,0.0,36.0,373.0,,77.0,195.58,1973-06-11,"June 11, 1973 (50 years old)",Peter Goers
46,Andrè Faria Gomes,Brazil,1970-11-18,,"Fortaleza, CE",2.0,1.0,5.0,2.0,54.0,588.0,,76.0,193.04,1970-11-18,"November 18, 1970 (52 years old)",
47,Brett Gonnermann,United States,1968-01-31,,"San Juan Capistrano, CA",0.0,1.0,2.0,1.0,51.0,0.0,,74.0,187.96,1968-01-31,"January 31, 1968 (55 years old)",
48,Jerry Graham,United States,1971-04-02,"Carson City, MI","Los Angeles, CA",0.0,0.0,0.0,0.0,61.0,667.0,,74.0,187.96,1971-04-02,"April 2, 1971 (52 years old)",Jerry Graham
49,Pete Gray,United States,,,,0.0,0.0,0.0,0.0,15.0,12.0,,,,,,
50,Curtis Griffin,United States,1969-06-26,"Boulder, CO","Boulder, CO",0.0,0.0,0.0,0.0,64.0,24.0,,74.0,187.96,1969-06-26,"June 26, 1969 (54 years old)",Curtis Griffin
51,Rico Guimaraes,United States,,,"Rancho Palos Verdes, CA",0.0,0.0,0.0,0.0,31.0,0.0,,,,,,
52,Albert Hannemann,United States,1970-05-04,"Redondo Beach, CA","Hermosa Beach, CA",1.0,2.0,3.0,2.0,256.0,7368.0,,75.0,190.5,1970-05-04,"May 4, 1970 (53 years old)",Albert Hannemann
53,Chris Hannemann,United States,1964-10-16,,"Ormond Beach, FL",1.0,2.0,0.0,1.0,31.0,5.0,,75.0,190.5,1964-10-16,"October 16, 1964 (58 years old)",
54,Nick Hannemann,United States,1972-01-12,"Redondo Beach, CA","Huntington Beach, CA",0.0,1.0,3.0,0.0,127.0,1130.0,,78.0,198.12,1972-01-12,"January 12, 1972 (51 years old)",Nick Hannemann
55,Dane Hansen,United States,1969-02-28,"Lakewood, CO","Raleigh, NC",0.0,0.0,0.0,0.0,39.0,0.0,,,,1969-02-28,"February 28, 1969 (54 years old)",
56,Leif Hanson,United States,1964-11-12,"Laguna Beach, CA","Laguna Beach, CA",3.0,6.0,15.0,10.0,249.0,7.0,,74.0,187.96,1964-11-12,"November 12, 1964 (58 years old)",
57,Mark Heese,Canada,1969-08-15,"Aurora, ON",,1.0,5.0,10.0,8.0,169.0,10673.0,,72.0,182.88,1969-08-15,"August 15, 1969 (53 years old)",Mark Heese
58,Nathan Heidger,United States,1972-03-07,"Walnut Creek, CA","Manhattan Beach, CA",0.0,0.0,0.0,0.0,33.0,34.0,,78.0,198.12,1972-03-07,"March 7, 1972 (51 years old)",
59,Rob Heidger,United States,1969-06-03,"Danville, CA","Redondo Beach, CA",1.0,5.0,13.0,7.0,153.0,3189.0,,78.0,198.12,1969-06-03,"June 3, 1969 (54 years old)",Rob Heidger
60,Dax Holdren,United States,1972-09-04,"Santa Barbara, CA","Goleta, CA",14.0,20.0,19.0,8.0,203.0,13444.0,,75.0,190.5,1972-09-04,"September 4, 1972 (50 years old)",Dax Holdren
61,Jody Holden,Canada,1968-08-20,"Shelburne, NS","Toronto, ON",1.0,1.0,1.0,1.0,107.0,4876.0,,77.0,195.58,1968-08-20,"August 20, 1968 (54 years old)",Jody Holden
62,John Hurbright,United States,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,John Hubright
63,Bryan Ivie,United States,1969-05-05,,"Manhattan Beach, CA",0.0,0.0,1.0,1.0,54.0,85.0,,79.0,200.66,1969-05-05,"May 5, 1969 (54 years old)",
64,Al Janc,United States,1964-03-17,"San Diego, CA",,2.0,2.0,5.0,7.0,223.0,15.0,,74.0,187.96,1964-03-17,"March 17, 1964 (59 years old)",
65,Ron Jenkins,United States,,,"Hermosa Beach, CA",0.0,0.0,0.0,0.0,16.0,3.0,,,,,,
66,Adam Jewell,United States,1975-06-24,"Torrance, CA","Redondo Beach, CA",1.0,4.0,6.0,0.0,129.0,6980.0,,77.0,195.58,1975-06-24,"June 24, 1975 (48 years old)",Adam Jewell
67,Adam Johnson,United States,1965-01-31,"Laguna Beach, CA","Austin, TX",43.0,35.0,34.0,31.0,256.0,1735.0,,75.0,190.5,1965-01-31,"January 31, 1965 (58 years old)",Adam Johnson
68,Mark Kerins,United States,1967-08-24,,"Huntington Beach, CA",2.0,1.0,3.0,5.0,151.0,183.0,,77.0,195.58,1967-08-24,"August 24, 1967 (55 years old)",
69,Karch Kiraly,United States,1960-11-03,"Santa Barbara, CA","San Clemente, CA",148.0,57.0,47.0,13.0,354.0,8653.0,,74.0,187.96,1960-11-03,"November 3, 1960 (62 years old)",Karch Kiraly
70,Jan Kvalheim,Norway,1963-02-05,Skien,Skien,8.0,5.0,10.0,9.0,105.0,5836.0,,79.0,200.66,1963-02-05,"February 5, 1963 (60 years old)",Jan Kvalheim
71,Paul Lachmann,United States,,,"Grand Haven, MI",0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
72,Mike Lambert,United States,1974-04-14,"Kaneohe, HI","Costa Mesa, CA",16.0,10.0,20.0,2.0,92.0,11685.0,,78.0,198.12,1974-04-14,"April 14, 1974 (49 years old)",Mike Lambert
73,Lee LeGrande,United States,1971-04-23,"Honolulu, HI","Hermosa Beach, CA",4.0,1.0,6.0,2.0,137.0,1857.0,,77.0,195.58,1971-04-23,"April 23, 1971 (52 years old)",Lee LeGrande
74,Conrad Leinemann,Canada,1971-04-02,Kelowna,"Toronto, ON",1.0,1.0,1.0,1.0,150.0,7150.0,,75.0,190.5,1971-04-02,"April 2, 1971 (52 years old)",Conrad Leinemann
75,Ken Lentin,United States,1962-12-17,,"La Jolla, CA",0.0,0.0,0.0,0.0,9.0,78.0,,,,1962-12-17,"December 17, 1962 (60 years old)",Ken Lentin
76,Brian Lewis,United States,1968-03-22,"Corona del Mar, CA","San Clemente, CA",8.0,28.0,36.0,19.0,252.0,3079.0,,73.0,185.42000000000002,1968-03-22,"March 22, 1968 (55 years old)",Brian Lewis
77,José Geraldo Loiola,Brazil,1970-03-28,Vitória,"Vitoria, ES, CA",55.0,44.0,27.0,16.0,277.0,12406.0,,76.0,193.04,1970-03-28,"March 28, 1970 (53 years old)",Jose Loiola
78,"Carlos Frederico ""Alemão"" Galletti Loss",Brazil,1970-12-29,,Rio de Janeiro ,1.0,2.0,2.0,1.0,57.0,420.0,,74.0,187.96,1970-12-29,"December 29, 1970 (52 years old)",
79,Stace Lougeay,United States,1970-08-26,,"Encinitas, CA",0.0,0.0,0.0,0.0,19.0,0.0,,76.0,193.04,1970-08-26,"August 26, 1970 (52 years old)",
80,Ricci Luyties,United States,1962-05-14,"Pacific Palisades, CA","San Diego, CA",7.0,17.0,21.0,34.0,288.0,885.0,,77.0,195.58,1962-05-14,"May 14, 1962 (61 years old)",
81,Matt Lyles,United States,1969-08-26,,"Los Gatos, CA",0.0,0.0,1.0,1.0,51.0,293.0,,75.0,190.5,1969-08-26,"August 26, 1969 (53 years old)",Matt Lyles
82,Ken Lynch,United States,1970-02-17,,"Malibu, CA",0.0,0.0,0.0,0.0,6.0,0.0,,79.0,200.66,1970-02-17,"February 17, 1970 (53 years old)",
83,Lance Lyons,United States,1968-11-11,,"Dana Point, CA",0.0,0.0,0.0,0.0,103.0,0.0,,73.0,185.42000000000002,1968-11-11,"November 11, 1968 (54 years old)",
84,Björn Maaseide,Norway,1968-03-07,Stavanger,Sandnes,8.0,5.0,10.0,9.0,178.0,9391.0,,78.0,198.12,1968-03-07,"March 7, 1968 (55 years old)",Bjorn Maaseide
85,Jesse Mahoney,United States,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
86,David Mardosz,United States,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,
87,Guilherme Luiz Marques,Brazil,1969-06-26,Huiz de Fora (MG),Rio de Janeiro,8.0,18.0,12.0,4.0,88.0,6563.0,,76.0,193.04,1969-06-26,"June 26, 1969 (54 years old)",
88,Kevin Martin,United States,1968-12-24,"Pacific Palisades, CA","Pacific Palisades, CA",0.0,0.0,2.0,2.0,142.0,114.0,,74.0,187.96,1968-12-24,"December 24, 1968 (54 years old)",
89,Mike Mattarocci,United States,1969-10-05,"San Diego, CA","Hermosa Beach, CA",0.0,0.0,0.0,0.0,65.0,653.0,,80.0,203.2,1969-10-05,"October 5, 1969 (53 years old)",Mike Mattarocci
90,Stein Metzger,United States,1972-11-17,"Honolulu, HI","Redondo Beach, CA",18.0,18.0,41.0,2.0,223.0,21159.0,,75.0,190.5,1972-11-17,"November 17, 1972 (50 years old)",Stein Metzger
91,Mike Minier,United States,,,,0.0,0.0,0.0,0.0,68.0,13.0,,,,,,
92,Erik Moore,United States,1972-07-25,,"Salt Lake City, UT",0.0,0.0,0.0,0.0,16.0,0.0,,77.0,195.58,1972-07-25,"July 25, 1972 (50 years old)",
93,Craig Moothart,United States,1963-04-25,"Irvine, CA",,0.0,0.0,3.0,7.0,194.0,15.0,,76.0,193.04,1963-04-25,"April 25, 1963 (60 years old)",
94,Scott Murdoch,United States,,,,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,
95,Jim Nichols,United States,1966-11-04,"Encinitas, CA","Encinitas, CA",0.0,0.0,0.0,3.0,195.0,2201.0,,71.0,180.34,1966-11-04,"November 4, 1966 (56 years old)",Jim Nichols
96,Mark Paaluhi,United States,1971-03-08,"Honolulu, HI","Hermosa Beach, CA",0.0,1.0,0.0,0.0,125.0,565.0,,75.0,190.5,1971-03-08,"March 8, 1971 (52 years old)",Mark Paaluhi
97,Raul Papaleo Pérez,Puerto Rico,1971-10-11,"San Juan, PR","Carolina, PR",1.0,1.0,1.0,0.0,102.0,1391.0,,73.0,185.42000000000002,1971-10-11,"October 11, 1971 (51 years old)",Raul Papaleo
98,Rogério 'Pará' de Souza Ferreira,Brazil,1973-09-13,Belém,Rio de Janeiro,10.0,14.0,10.0,5.0,127.0,9340.0,,75.0,190.5,1973-09-13,"September 13, 1973 (49 years old)",Rogerio 'Para' Ferreira
99,Brian Passman,United States,1969-01-20,,"San Diego, CA",0.0,0.0,0.0,0.0,1.0,0.0,,,,1969-01-20,"January 20, 1969 (54 years old)",
100,Dane Pearson,United States,1967-12-24,,"Venice, CA",0.0,0.0,1.0,0.0,42.0,598.0,,76.0,193.04,1967-12-24,"December 24, 1967 (55 years old)",Dane Pearson
101,Justin Perlstrom,United States,1970-01-06,,"Laguna Beach, CA",0.0,0.0,0.0,0.0,97.0,24.0,,73.0,185.42000000000002,1970-01-06,"January 6, 1970 (53 years old)",
102,Jody Petty,United States,1969-06-22,,"Greensboro, NC",0.0,0.0,0.0,0.0,1.0,0.0,,71.0,180.34,1969-06-22,"June 22, 1969 (54 years old)",
103,Chris Pliha,United States,,,,0.0,0.0,0.0,0.0,18.0,0.0,,,,,,
104,Pat Powers,United States,1958-02-13,,"Malibu, CA",12.0,12.0,14.0,20.0,170.0,0.0,,77.0,195.58,1958-02-13,"February 13, 1958 (65 years old)",
105,Jason Pursley,United States,1969-12-06,,"Hermosa Beach, CA",0.0,0.0,0.0,1.0,59.0,38.0,,77.0,195.58,1969-12-06,"December 6, 1969 (53 years old)",
106,Leland Quinn,United States,1972-04-03,"Huntington Beach, CA","Newport Beach, CA",0.0,0.0,0.0,0.0,57.0,378.0,,81.0,205.74,1972-04-03,"April 3, 1972 (51 years old)",Leland Quinn
107,Larry Richards,United States,,,,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,
108,Brennan Robison,United States,,,,0.0,0.0,0.0,0.0,9.0,0.0,,,,,,
109,Jeff Rodgers,United States,1964-09-22,"Los Angeles, CA","Los Angeles, CA",0.0,1.0,1.0,0.0,165.0,22.0,,74.0,187.96,1964-09-22,"September 22, 1964 (58 years old)",
110,Russ Ettinger,United States,,,"Grand Rapids, MI",0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
111,Todd Rogers,United States,1973-09-30,"Santa Barbara, CA","Solvang, CA",80.0,34.0,35.0,19.0,349.0,49546.0,,74.0,187.96,1973-09-30,"September 30, 1973 (49 years old)",Todd Rogers
112,Henry Russell,United States,1969-05-21,"Clearwater, FL","Redondo Beach, CA",1.0,1.0,3.0,1.0,91.0,33.0,,78.0,198.12,1969-05-21,"May 21, 1969 (54 years old)",Henry Russell
113,Gregory Alan 'Greg' Ryan,United States,1969-11-22,"Huntington Beach, CA","Hermosa Beach, CA",0.0,1.0,1.0,0.0,62.0,425.0,,77.0,195.58,1969-11-22,"November 22, 1969 (53 years old)",
114,Michael Schlegel,United States,1968-02-23,,"Palos Verdes, CA",0.0,0.0,0.0,0.0,79.0,10.0,,75.0,190.5,1968-02-23,"February 23, 1968 (55 years old)",
115,Jason Scott,United States,1973-12-03,,"Tampa, FL",0.0,0.0,0.0,0.0,5.0,0.0,,,,1973-12-03,"December 3, 1973 (49 years old)",
116,Sean Scott,United States,1973-06-29,"Kailua, HI","Redondo Beach, CA",24.0,25.0,26.0,5.0,231.0,27526.0,,77.0,195.58,1973-06-29,"June 29, 1973 (50 years old)",Sean Scott
117,Wayne Seligson,United States,1971-06-24,,"Honolulu, HI",0.0,0.0,1.0,0.0,84.0,47.0,,73.0,185.42000000000002,1971-06-24,"June 24, 1971 (52 years old)",Wayne Seligson
118,Greg Shankle,United States,1971-10-09,,"Manhattan Beach, CA",0.0,0.0,0.0,0.0,27.0,0.0,,79.0,200.66,1971-10-09,"October 9, 1971 (51 years old)",
119,Steve Simpson,United States,1971-03-04,,"Conroe, TX",0.0,0.0,0.0,0.0,29.0,275.0,,73.0,185.42000000000002,1971-03-04,"March 4, 1971 (52 years old)",Steve Simpson
120,Aaron Smith,United States,,,"San Diego, CA",0.0,0.0,0.0,0.0,56.0,25.0,,,,,,
121,Andrew Smith,United States,1958-05-22,,"Pacific Palisades, CA",3.0,12.0,14.0,32.0,311.0,0.0,,75.0,190.5,1958-05-22,"May 22, 1958 (65 years old)",
122,David Smith,United States,1972-02-26,"Denver, CO","Lakewood, CO",0.0,1.0,1.0,1.0,156.0,7369.0,,75.0,190.5,1972-02-26,"February 26, 1972 (51 years old)",David Smith
123,Doug Smith,United States,1970-01-07,,"Mt. Pleasant, SC",0.0,0.0,0.0,0.0,6.0,10.0,,,,1970-01-07,"January 7, 1970 (53 years old)",Doug Smith
124,Mike Stafford,United States,1967-05-13,,"Dana Point, CA",5.0,3.0,0.0,0.0,95.0,4.0,,76.0,193.04,1967-05-13,"May 13, 1967 (56 years old)",
125,Kent Steffes,United States,1968-06-23,"Pacific Palisades, CA","Panorama City, CA",110.0,34.0,21.0,12.0,233.0,836.0,,76.0,193.04,1968-06-23,"June 23, 1968 (55 years old)",
126,Burke Stefko,United States,1968-12-07,,"Boca Raton, FL",0.0,0.0,0.0,0.0,57.0,0.0,,75.0,190.5,1968-12-07,"December 7, 1968 (54 years old)",
127,Jason Stimpfig,United States,1971-02-18,,"Manhattan Beach, CA",0.0,0.0,0.0,0.0,34.0,8.0,,73.0,185.42000000000002,1971-02-18,"February 18, 1971 (52 years old)",
128,Randy Stoklos,United States,1960-12-13,"Pacific Palisades, CA",,122.0,86.0,56.0,27.0,370.0,27.0,,76.0,193.04,1960-12-13,"December 13, 1960 (62 years old)",
129,Bill Suwara,United States,1966-07-29,"Calabasas, CA",,0.0,0.0,0.0,1.0,101.0,0.0,,74.0,187.96,1966-07-29,"July 29, 1966 (56 years old)",
130,David Swatik,United States,1973-02-14,"Manhatttan Beach, CA","Manhatttan Beach, CA",4.0,3.0,5.0,5.0,153.0,999.0,,76.0,193.04,1973-02-14,"February 14, 1973 (50 years old)",David Swatik
131,Troy Tanner,United States,1963-10-31,"Provo, UT",,0.0,10.0,13.0,5.0,155.0,183.0,,76.0,193.04,1963-10-31,"October 31, 1963 (59 years old)",
132,Serge Tkachev,United States,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
133,Matt Unger,United States,1970-06-24,"Pacific Palisades, CA","Playa del Rey, CA",0.0,0.0,0.0,1.0,121.0,104.0,,71.0,180.34,1970-06-24,"June 24, 1970 (53 years old)",
134,Bruk Vandeweghe,United States,1963-12-01,,"Beverly Hills, CA",1.0,4.0,9.0,12.0,191.0,217.0,,77.0,195.58,1963-12-01,"December 1, 1963 (59 years old)",
135,Amaury Velasco,Puerto Rico,1972-03-06,"Santurce, PR","San Juan, PR",0.0,1.0,1.0,0.0,63.0,949.0,,77.0,195.58,1972-03-06,"March 6, 1972 (51 years old)",Amaury Velasco
136,Dan Vrebalovich,United States,1962-12-28,"Hermosa Beach, CA","Hermosa Beach, CA",6.0,7.0,20.0,19.0,249.0,18.0,,74.0,187.96,1962-12-28,"December 28, 1962 (60 years old)",
137,Wes Welch,United States,1960-01-19,,"San Clemente, CA",0.0,2.0,5.0,4.0,130.0,2.0,,77.0,195.58,1960-01-19,"January 19, 1960 (63 years old)",
138,Mike Whitmarsh,United States,,"San Diego, CA","Deceased February 16, 2009",28.0,49.0,40.0,25.0,267.0,5546.0,,79.0,200.66,,May 18th,Mike Whitmarsh
139,Matt Winterburn,United States,,,,0.0,0.0,0.0,0.0,39.0,0.0,,,,,,
140,Andy Witt,United States,1978-03-21,"Santa Ynez, CA","Santa Ynez, CA",0.0,0.0,0.0,0.0,31.0,1762.0,,78.0,198.12,1978-03-21,"March 21, 1978 (45 years old)",Andy Witt
141,Kevin Wong,United States,1972-09-12,"Honolulu, HI","Honolulu, HI",10.0,10.0,27.0,3.0,260.0,23002.0,,79.0,200.66,1972-09-12,"September 12, 1972 (50 years old)",Kevin Wong
142,Eric Wurts,United States,1960-02-25,,"Fort Lauderdale, FL",1.0,4.0,4.0,4.0,266.0,219.0,,72.0,182.88,1960-02-25,"February 25, 1960 (63 years old)",Eric Wurts
143,Chris Young,United States,1967-02-26,,"Kaneohe, HI",0.0,1.0,0.0,0.0,145.0,82.0,,77.0,195.58,1967-02-26,"February 26, 1967 (56 years old)",Chris Young
144,Tony Zapata,United States,1969-12-21,,"Topanga, CA",0.0,0.0,0.0,0.0,93.0,63.0,,77.0,195.58,1969-12-21,"December 21, 1969 (53 years old)",Tony Zapata
145,Joel Jones,United States,,,"Torrance, CA",0.0,0.0,2.0,2.0,27.0,40.0,,,,,,Joel Jones
146,Julien Prosser,Australia,1972-06-11,"Bunbury, West Australia",Sydney,1.0,0.0,8.0,7.0,150.0,7317.0,,76.0,193.04,1972-06-11,"June 11, 1972 (51 years old)",Julien Prosser
147,Lee Zahner,Australia,1974-03-13,Brisbane,Brisbane,1.0,0.0,6.0,3.0,91.0,5538.0,,78.0,198.12,1974-03-13,"March 13, 1974 (49 years old)",Lee Zahner
148,Emanuel Fernando Scheffer Rego,Brazil,1973-04-15,Curitiba,João Pessoa/Rio de Janeiro,86.0,45.0,47.0,16.0,286.0,46415.0,,75.0,190.5,1973-04-15,"April 15, 1973 (50 years old)",Emanuel Rego
149,Franco José Vieira Neto,Brazil,1966-11-11,Fortaleza,Rio de Janeiro,18.0,21.0,26.0,16.0,212.0,16615.0,,76.0,193.04,1966-11-11,"November 11, 1966 (56 years old)",Franco Neto
150,Roberto Lopes da Costa,Brazil,1966-10-06,Bacabal,"Fortaleza, CE",15.0,12.0,16.0,9.0,122.0,5299.0,,73.0,185.42000000000002,1966-10-06,"October 6, 1966 (56 years old)",Roberto Lopes
